Minisector,VET,NOR,Fastest
0,301.93532477069596,297.286573708642,VET
1,162.64772926635428,155.97438663654546,VET
2,152.69626717777777,150.2485527414565,VET
3,223.70754980324452,223.18370721784552,VET
4,285.89562817289374,286.8079531763809,NOR
5,291.1156010501841,289.5328705580247,VET
6,146.27400684063068,141.2883083516395,VET
7,141.7746078517862,140.9644588589051,VET
8,149.94258210736479,144.1336439465053,VET
9,177.30859118771536,179.4005837666328,NOR
10,133.64564573620208,132.40599420311503,VET
11,126.9642085876666,124.62077624798958,VET
12,165.31977112530856,164.28743871594423,VET
13,266.9412556952381,269.6175994572481,NOR
14,286.4380663137562,295.5499576801475,NOR
15,152.31067237403533,150.8365288747588,VET
16,212.21113216305054,209.1385606065262,VET
17,169.0566552004066,164.88780952490487,VET
18,271.08037342020714,270.1263108959574,VET
19,295.47608369814253,297.5316906605714,NOR
20,309.2220426722174,311.6336945785506,NOR
21,317.10208329696974,319.52632576969694,NOR
22,319.8366718873706,322.8126669636899,NOR
23,321.82265924718325,332.3437495834268,NOR
24,319.7486855047619,332.9806183377708,NOR
