Minisector,RUS,HAD,Fastest
0,278.0862911631221,280.42188096628036,HAD
1,292.2957573947805,287.62189117254525,RUS
2,275.82296282909095,273.3648128051098,RUS
3,162.63376448296003,175.85185250524708,HAD
4,112.5096786649018,116.1198155366723,HAD
5,243.94814520817772,243.08815321356963,RUS
6,293.6654562574634,285.2991605042424,RUS
7,296.57479907214724,291.8989922873252,RUS
8,170.05325292925752,175.80023461869487,HAD
9,133.64231490002177,138.80106169704024,HAD
10,254.50193493501223,255.90482308313358,HAD
11,292.939840296353,291.962250112,RUS
12,293.25016321091465,293.1491540095408,RUS
13,276.58599506981363,266.96987085371427,RUS
14,290.23741319947874,281.26757142857144,RUS
15,282.67618699364516,276.43307166333966,RUS
16,240.00442614627303,246.96794871794873,HAD
17,222.80438661762406,218.6612547448889,RUS
18,282.7943443650794,274.29189033189033,RUS
19,304.66994704448587,297.2082918327019,RUS
20,301.59751619530823,298.0079365079365,RUS
21,235.33978933634074,232.94656505469388,RUS
22,232.3608654157295,237.19972789597796,HAD
23,134.9017540194843,134.20392606121962,RUS
24,206.78241279284774,201.81328826188798,RUS
25,259.5750016,258.92777955555556,RUS
