Minisector,HAM,HUL,Fastest
0,297.72321401904765,297.3313663469979,HAM
1,251.70780921010507,243.30748314224755,HAM
2,199.12569345777777,203.0883333688889,HUL
3,265.06529328194597,265.47927476892016,HUL
4,220.76233883900227,232.75862025255734,HUL
5,122.58227500161655,115.79790906032095,HAM
6,183.5998063327731,180.50551513725492,HAM
7,257.29501633721935,255.56435636877382,HAM
8,289.1011435818198,285.5791668848485,HAM
9,303.24749994666666,299.76854650715666,HAM
10,308.1679820165951,305.6453794247619,HAM
11,235.51053011592083,219.1868405989579,HAM
12,148.14516385489677,147.27724219556853,HAM
13,257.07606660443054,257.0333717411975,HAM
14,290.29705075670995,288.12757955192745,HAM
15,299.4452380444444,297.9036703740579,HAM
16,293.0418019116883,294.39827484671287,HUL
17,257.52130736209523,258.90675250581876,HUL
18,188.58684762641255,182.1428981300282,HAM
19,189.05773612970918,186.9459086685228,HAM
20,182.9460814566042,181.22562587799766,HAM
21,251.10554744685712,244.98796021327374,HAM
22,131.56444247249615,125.31791167178591,HAM
23,200.70455595723124,195.30288171059908,HAM
24,276.54317944126984,273.96892804802724,HAM
25,,289.1833344,HUL
