Minisector,VER,GAS,Fastest
0,263.4623161025641,263.3496121612694,VER
1,242.463494919224,250.19352138271606,GAS
2,165.87376975326393,167.52314161549512,GAS
3,247.07869841558048,247.2221110574956,GAS
4,271.99168525071246,271.39078807168056,VER
5,189.69254587851788,190.4551107950736,GAS
6,123.17801765773167,122.58931751741257,VER
7,158.44067043857814,160.46222984954733,GAS
8,257.7945480044403,259.0488767179487,GAS
9,180.45584116138997,184.44858593467544,GAS
10,186.1696618186334,181.58066201926133,VER
11,256.57983045860806,256.40295897764344,VER
12,238.63762371160496,247.36119677000443,GAS
13,259.55549952,254.44877566811815,VER
14,284.0659742726174,282.12210054492755,VER
15,282.9485525333333,291.1294717231189,GAS
16,150.31494052479346,150.19452935023386,VER
17,236.14466355132276,237.75346111724755,GAS
18,283.0586905419309,281.33472992463766,VER
19,295.788945538322,293.57518107826087,VER
20,300.23246734545455,297.1856603291274,VER
21,306.1749349302371,298.6229168,VER
22,151.16695354112554,157.50224096611592,GAS
23,92.12561365321548,91.35771329210698,VER
24,180.88157831534392,177.8509628377084,VER
25,247.12500053333332,245.541664,VER
