Minisector,SAI,MAG,Fastest
0,323.3143576140837,323.7358523999204,MAG
1,333.2775759890743,332.6300556757143,SAI
2,329.7467106021053,332.161314592254,MAG
3,192.2188453711511,187.9529145312875,SAI
4,128.05434171585617,132.14137981303614,MAG
5,269.0824289473646,267.765180253898,SAI
6,304.1278858495615,303.23043647799636,SAI
7,316.0835192761905,318.0568722590476,MAG
8,277.3768240414815,282.11727861105396,MAG
9,147.11884965893157,139.0631155211612,SAI
10,216.5987524981932,220.27208079284483,MAG
11,223.99621554316738,222.61265820949583,SAI
12,196.75611558023746,199.4121503436508,MAG
13,270.8527577265637,267.9643317776923,SAI
14,307.966887638747,304.72210324745197,SAI
15,326.09056260380953,321.6162827368421,SAI
16,272.9849727393939,281.98945954507934,MAG
17,212.56998062784527,210.04684229149927,SAI
18,277.9760028057143,273.25270910429043,SAI
19,309.7664021119845,306.30455871436766,SAI
20,324.99864559703707,322.8195220428526,SAI
21,309.3791727237474,309.1733535425738,SAI
22,198.84306801401684,209.34675208168943,MAG
23,265.5298813981505,267.1665623400414,MAG
24,305.7634326796191,304.0336200928449,SAI
25,316.36785737142856,318.4972224,MAG
