Minisector,PER,GIO,Fastest
0,322.326756167619,317.37105996190473,PER
1,330.58312512000003,321.08981478095234,PER
2,326.76537699894175,323.7887633156944,PER
3,171.35263482316603,173.20349732624808,GIO
4,137.75242405774853,134.80145858566027,PER
5,269.6009054144928,266.85433991111114,PER
6,301.69079090709454,296.9355654144091,PER
7,316.60895818666665,304.0029761015873,PER
8,258.34205132518395,261.47948033425547,GIO
9,150.7036899504762,150.77302405946574,GIO
10,222.59575843887689,217.95468581834962,PER
11,221.0632597393305,226.8517848761905,GIO
12,198.87663168786483,197.33200452652628,PER
13,273.55698600043826,271.60670205217394,PER
14,307.9735774251629,303.31964266666665,PER
15,318.90833333333336,311.06077381333336,PER
16,255.95300168533333,248.1327871512381,PER
17,208.9005591580898,213.61724005517243,GIO
18,274.70721853385004,276.03095685069485,GIO
19,309.7871723657143,304.94172577523807,PER
20,322.53211878190274,312.11416656,PER
21,303.71781357333333,298.2958316908339,PER
22,210.29696153844264,208.5752048101587,PER
23,268.45789974025973,268.1464927455391,PER
24,305.58906901471863,301.1347910933333,PER
25,,311.0,GIO
