Minisector,SAI,PIA,Fastest
0,298.03828059300486,290.41053708246915,SAI
1,315.3808213883752,299.24690127058824,SAI
2,324.4048950601399,303.08697476302524,SAI
3,317.0890256853666,296.1307587994771,SAI
4,159.87688734078267,165.90274750505708,PIA
5,202.0953285491619,205.17029838910057,PIA
6,232.0854490825143,230.1921349248,SAI
7,267.0660056778698,266.3855902482946,SAI
8,237.98628201904762,246.84451096596786,PIA
9,155.07624729844943,162.38836555396804,PIA
10,220.48631631313657,220.78987372260252,PIA
11,127.79178629024024,128.29697248286433,PIA
12,224.29406992236594,229.5928793277775,PIA
13,179.1919741312476,172.79940123486753,SAI
14,215.57859061261277,213.2835261511185,SAI
15,232.54483023627853,239.67917414920973,PIA
16,259.4784173017687,261.65666574222223,PIA
17,286.40836697181487,284.9667233016002,SAI
18,157.63388933460317,160.04780679768064,PIA
19,160.54731992681675,167.07267093687898,PIA
20,139.09176426046167,138.33492816067738,SAI
21,227.96162560737812,230.55521555882083,PIA
22,259.455166746936,260.8977046347505,PIA
23,242.80877682978354,250.93131820180594,PIA
24,273.31000099647906,273.8976370253247,PIA
