Minisector,RIC,VER,Fastest
0,277.98586949565214,277.22684579394996,RIC
1,293.11777237602496,292.96416672,RIC
2,239.69733307733333,249.88298648888892,VER
3,119.85583988216939,119.5401967984451,RIC
4,135.3861672714205,132.12581633420515,RIC
5,248.98866608253968,247.11597235555556,RIC
6,257.5112235836876,261.40984853333333,VER
7,129.93877080852798,124.42608622086675,RIC
8,247.20398608695652,245.42826501839724,RIC
9,265.891856,267.48832198820867,VER
10,222.43128845573622,218.08063184175924,RIC
11,145.49212629118784,144.92560962601627,RIC
12,209.9557286071326,201.9715318909688,RIC
13,263.6761620208617,262.3786708691401,RIC
14,124.81225963034295,123.62404246909423,RIC
15,190.28362001051087,187.2858213038253,RIC
16,254.84274670422045,255.37976965335864,VER
17,285.4889928048344,290.19906481632654,VER
18,296.1120615298246,305.0048245894737,VER
19,300.22785094736844,313.0905019469006,VER
20,303.6997917333333,316.26416666666665,VER
21,189.3967130120062,191.86384775351135,VER
22,137.3658699114048,132.38242725194806,RIC
23,209.23009339373147,207.85463030926846,RIC
24,235.66344106971428,230.5746057150814,RIC
25,264.35,263.4166677333333,RIC
