Minisector,RUS,PER,Fastest
0,286.93916974288334,299.325500916934,PER
1,289.71378085361505,304.63695597460315,PER
2,162.48103796727042,156.17002029393262,RUS
3,222.24234030137566,219.17078731811344,RUS
4,271.11012208763856,277.48431859955343,PER
5,291.40009959394956,304.1923452441121,PER
6,295.12267846597945,312.48889003636367,PER
7,163.9980721671499,141.08523447975873,RUS
8,123.88329692130621,129.5933945827538,PER
9,253.5061810953623,255.188199831028,PER
10,283.40369762666666,298.74550612142855,PER
11,296.9421284088889,307.7226887029841,PER
12,151.52374812420084,128.35683956645076,RUS
13,188.31201719536492,191.17662182988485,PER
14,254.6922987980724,249.70224401162906,RUS
15,201.46313216646465,194.0941614580311,RUS
16,209.22620101383387,211.44161639969425,PER
17,214.68043350588235,205.69403966765103,RUS
18,236.37850231025195,245.0560139373377,PER
19,273.6238534367291,280.0130661835294,PER
20,294.55042782497503,291.3619791333333,RUS
21,263.1791552195139,254.4407801646011,RUS
22,218.47436277598544,210.17478140669027,RUS
23,204.99386098924768,207.5624255503602,PER
24,261.77294164462586,262.9407688667787,PER
