Minisector,GRO,MAG,Fastest
0,255.82689650411942,256.0406686857982,MAG
1,205.51900916438476,204.56508859408302,GRO
2,221.91674156047762,225.00026941823677,MAG
3,264.03550767701864,261.5913223602083,GRO
4,275.580843781572,272.077852212801,GRO
5,212.49988568437834,216.32306079429674,MAG
6,95.75482442149412,94.841200018062,GRO
7,182.2466195859538,191.79776517089564,MAG
8,278.3237908717687,277.5626802283616,GRO
9,304.1019095296295,306.98997217169364,MAG
10,314.8206207115936,319.764203077904,MAG
11,304.92913598968363,315.46749709569985,MAG
12,103.06565051639785,104.9528044639237,MAG
13,210.16109986930232,211.57049800845613,MAG
14,276.94313078159695,277.21446229155544,MAG
15,297.890765170555,297.1773652310497,GRO
16,223.57253976409976,201.69943780313616,GRO
17,122.05665426089847,122.5017411575505,MAG
18,148.84547248930846,153.62493303836416,MAG
19,255.79731451253966,257.1789185549862,MAG
20,153.32976471516116,149.37024880511615,GRO
21,125.72252413290491,126.68899283199042,MAG
22,205.7066065895875,202.1005394246011,GRO
23,198.27663212668864,199.4434143363651,MAG
24,162.39153703498474,163.24372002944608,MAG
