Minisector,OCO,STR,Fastest
0,281.9406488462027,302.6732308126154,STR
1,155.82115407366229,151.93480865320893,OCO
2,169.87604407330883,168.48455955096654,OCO
3,243.7377268679241,240.8798325418549,OCO
4,274.32749979592285,282.7375921138278,STR
5,231.0749536801865,229.64785014386146,OCO
6,213.7088000359147,203.40573335872475,OCO
7,152.41204196961104,149.76727283702022,OCO
8,231.5738746488832,224.6163266634339,OCO
9,280.9111161476839,281.3639450901264,STR
10,298.3951947190303,302.6378186593464,STR
11,308.3795486622579,321.37485265112304,STR
12,310.07650375939846,332.2981854579065,STR
13,301.4261258450179,323.3476782072161,STR
14,126.32523675630004,127.84381816682912,STR
15,113.35920526106138,116.79191334231082,STR
16,97.78613750064052,96.99473499037197,OCO
17,233.91417305564116,232.67620292965688,OCO
18,284.43827159929776,285.2757125483296,STR
19,303.64962807538654,317.03361275249296,STR
20,315.618202105679,334.70652482906667,STR
21,314.3095834311111,337.969241924183,STR
22,123.61367882139218,118.28026375275381,OCO
23,203.7219215975635,194.8440975955067,OCO
24,265.21219808783394,270.55179030476194,STR
