Minisector,NOR,GIO,Fastest
0,288.55935270915575,302.4458932268534,GIO
1,289.17927966546483,306.56209622552376,GIO
2,160.66269483275482,155.0846093123928,NOR
3,231.66628640728877,224.81643080723114,NOR
4,276.6204600281504,283.333266659536,GIO
5,294.605798215009,308.1166328952177,GIO
6,297.60687263286184,321.33312414175754,GIO
7,150.77479294761264,149.1478410766364,NOR
8,142.90294179273462,133.96030579572184,NOR
9,253.6528040970349,253.37834494191324,NOR
10,284.1087796285714,293.85788664100744,GIO
11,291.30935842561115,307.7143540238814,GIO
12,141.25289819991755,141.33497410504364,GIO
13,207.65035592312032,192.85367453580224,NOR
14,257.7791439497703,257.5135546155699,NOR
15,191.83566532534041,191.63905634947318,NOR
16,225.8013869972588,216.61535413616878,NOR
17,206.0805883658867,206.00045315388786,NOR
18,248.30550703455972,240.7712161749901,NOR
19,280.1407163310335,273.3221739477207,NOR
20,291.9809415935972,290.27936507936505,NOR
21,252.2934674881804,262.71903711112844,GIO
22,215.40200516547765,223.36410892028897,GIO
23,208.15169186269657,204.61678348848366,NOR
24,267.451919354726,267.129000064,NOR
25,,289.44583324444443,GIO
