Minisector,GRO,GIO,Fastest
0,273.0743558984127,271.8126738222222,GRO
1,292.83375158165256,288.4733134610969,GRO
2,231.75807464489796,222.64166569195402,GRO
3,124.3430187132654,126.9149977458458,GIO
4,180.09564724428623,183.74460122740035,GIO
5,119.91669130037862,121.6591281866755,GIO
6,205.4586784340166,209.29019341291573,GIO
7,260.8618400602492,258.3929185128814,GRO
8,177.58393031941452,176.39738527137538,GRO
9,177.25121620765086,177.84226319937258,GIO
10,262.119668584127,261.0945687238095,GRO
11,184.28557566669872,190.65650589311795,GIO
12,163.9914391091575,163.32675505964912,GRO
13,254.4840996313921,254.27806575339358,GRO
14,271.21671874782606,269.0992808634921,GRO
15,286.0860048737923,282.6809572003547,GRO
16,202.44248936666668,202.391369,GRO
17,193.11672693916378,194.65070028011203,GIO
18,240.31836559012348,241.17521492723807,GIO
19,280.9894485541126,278.0085507246377,GRO
20,292.5476193015873,288.7465639203463,GRO
21,194.77261613714285,211.9239787825241,GIO
22,142.40209826839828,144.77836898870433,GIO
23,153.54287348953176,156.5043160295884,GIO
24,220.65731734502285,221.83404691452486,GIO
25,256.6142857142857,258.22857142857146,GIO
