Minisector,MAG,GAS,Fastest
0,260.8491961888945,260.6293049955556,MAG
1,133.4180975828356,133.4749431479232,GAS
2,266.0484542368618,263.759756291047,MAG
3,304.07299976533335,300.7727926031746,MAG
4,300.73009311796017,296.1172009777655,MAG
5,308.24149973333334,304.641333248,MAG
6,312.57909425178883,309.5194443111111,MAG
7,313.4539932,310.2409144888889,MAG
8,210.72349718518518,198.60996207866995,MAG
9,197.28307118223367,201.5733432712227,GAS
10,184.86975504737012,174.92806528509206,MAG
11,165.07967175395552,173.9366920429239,GAS
12,253.56609721111116,254.62005259770115,GAS
13,285.21085792215996,275.0527299678161,MAG
14,284.070879003663,277.22853674016613,MAG
15,282.86570277530865,268.92876973262787,MAG
16,187.25798790080782,187.0973771105603,MAG
17,194.96672917519732,191.04401228044935,MAG
18,240.90768810772045,243.52787568076008,GAS
19,287.1566595950839,286.64400173479856,MAG
20,306.66440933333337,304.9442490498317,MAG
21,313.98265403871545,310.9481398476191,MAG
22,312.630333312,309.62266666666665,MAG
23,256.5829733597064,225.3138970217046,MAG
24,118.71751432330345,118.10834339951575,MAG
