Minisector,ALB,PER,Fastest
0,289.82765551908034,287.6875344545302,ALB
1,306.8122034673737,306.3845240888889,ALB
2,299.13249952,303.15765254240364,PER
3,187.06028541283678,186.78506532350232,ALB
4,224.39386883460568,224.50185283890042,PER
5,212.71069788507822,216.67241375632184,PER
6,197.66278154739302,197.98150413929085,PER
7,221.2442348636457,218.29511547586208,ALB
8,257.3713546222222,258.47487938164255,PER
9,260.7472467238095,264.5849634252588,PER
10,177.98391259301496,182.72907132869503,PER
11,239.77897455186047,243.30888148114286,PER
12,122.46617098936592,121.41868122532244,ALB
13,228.98095775853506,228.57389889241622,ALB
14,272.3083664188562,274.2904716183599,PER
15,277.3479166683983,286.07428164103396,PER
16,214.7529472948911,211.3119604479916,ALB
17,194.8230036413952,186.66485475888928,ALB
18,269.9595733589518,268.2484297429952,ALB
19,293.0445863256236,294.7160624574532,PER
20,304.4527424203535,307.5332671830688,PER
21,305.71068588117913,309.1502380952381,PER
22,260.97876297052176,270.7550276779765,PER
23,121.02329030730253,120.56641637456131,ALB
24,241.65278632838098,246.12916689066668,PER
25,272.9,274.3916672,PER
