Minisector,VET,VAN,Fastest
0,306.8757593212121,294.1003607652174,VET
1,162.19166740666455,155.1585739531888,VET
2,164.19592126871743,152.382298332693,VET
3,210.39488031899046,219.23029727422002,VAN
4,280.87922860845583,282.0891835221519,VAN
5,298.38679109185955,285.49848365714286,VET
6,151.01467905852078,144.55192298007412,VET
7,140.848924871978,138.43469790751314,VET
8,164.49945780408828,151.0550436503411,VET
9,155.845714706715,172.2932930522774,VAN
10,138.08027205129272,131.24794839324272,VET
11,129.146442986224,124.86229730112024,VET
12,151.09965799179622,158.0775140394646,VAN
13,261.5499135555555,262.42954181681233,VAN
14,290.0327941646508,279.1323499991718,VET
15,156.86934417777778,148.45034005144407,VET
16,209.19423022053277,210.3038043957889,VAN
17,155.23183074289884,157.20572737034527,VAN
18,264.9690398095238,264.2875436303378,VET
19,289.08513783775015,286.9675210222424,VET
20,303.02341737835496,297.7943179151515,VET
21,314.01812501333336,306.1462080613129,VET
22,317.7177633395111,311.82416656,VET
23,329.3936608457143,314.5788094628571,VET
24,334.4936251077459,312.50795466666665,VET
25,330.3083338666667,,VET
