Minisector,RUS,HAD,Fastest
0,312.8318408972542,329.9223295608391,HAD
1,241.8961835017489,269.3928677236428,HAD
2,133.19505103866814,131.6033045602241,RUS
3,218.0485471855639,215.0007323897713,RUS
4,266.18781357360854,262.82319014166626,RUS
5,291.56322316900366,286.3573529411765,RUS
6,307.6744067213507,295.16980392784313,RUS
7,282.6954605180953,264.55840410363385,RUS
8,170.1820670012766,169.66473817904762,RUS
9,237.42896666442914,239.1087974717039,HAD
10,273.5345652111246,270.49087962962966,RUS
11,260.8372445446356,258.44196242694346,RUS
12,206.167099438376,202.94574505130265,RUS
13,122.78762251640212,124.75614853080921,HAD
14,123.35452731001153,121.09658130047268,RUS
15,166.08127421159472,159.0657140754139,RUS
16,123.61017166078958,122.36273647500396,RUS
17,226.8150373491707,229.63723809523808,HAD
18,183.6371940519865,192.1026494342631,HAD
19,161.96234646390363,151.4078154063229,RUS
20,242.99955481931042,244.27075534756895,HAD
21,274.6516893192982,272.9666702290182,RUS
22,292.9543079857143,290.85244755244753,RUS
23,303.4588629490554,302.30059177510844,RUS
24,309.25541686704764,308.22064109128206,RUS
25,311.0,,RUS
