Minisector,SAI,LEC,Fastest
0,300.2039468350877,292.19520773333335,SAI
1,311.336896512207,304.1992296605042,SAI
2,158.28917474818005,160.73153795860975,LEC
3,216.3421433910006,218.63619314792243,LEC
4,280.1072324223113,277.8665748596003,SAI
5,307.7268904156863,303.80092533333334,SAI
6,320.18918408161437,316.0399508705882,SAI
7,187.7801285661777,181.61491663254688,SAI
8,114.22544553146636,119.0204064893511,LEC
9,255.00595144126987,251.694966983296,SAI
10,301.80622779325654,293.8204826877125,SAI
11,319.98593753333336,312.2352941176471,SAI
12,152.39114147329013,142.31895966758867,SAI
13,188.3336598958922,192.31688932649942,LEC
14,256.13988058412696,259.5554185784555,LEC
15,207.26063270503408,190.37241423448276,SAI
16,221.29687426666666,207.2069248775031,SAI
17,218.6490843594759,203.48086463209876,SAI
18,242.4763586018767,240.19417714414595,SAI
19,276.49801554285716,278.11980848140547,LEC
20,288.61828705185184,298.4814814814815,LEC
21,268.0244950095238,262.5788789798034,SAI
22,234.51516612505173,223.3608007564739,SAI
23,206.30138563915648,202.5061209468462,SAI
24,263.82470185904765,267.0639707411146,LEC
25,280.1,,SAI
