Minisector,RAI,HUL,Fastest
0,277.2045580603281,267.629513591805,RAI
1,294.53183153470513,287.1426885826241,RAI
2,294.36285331833363,285.5124792986921,RAI
3,179.71183566920502,172.87003645231292,RAI
4,119.94189448073466,118.30283676773705,RAI
5,238.8963273119702,233.8730117357493,RAI
6,283.7657671776743,276.2010941561777,RAI
7,297.8082211962497,286.1798657995378,RAI
8,169.57514548249972,167.7162465049067,RAI
9,136.97699393821088,136.86246537725756,RAI
10,252.70012104738007,245.66977068840572,RAI
11,289.3753323577253,278.2261776926882,RAI
12,302.1140916201771,290.32855245766217,RAI
13,283.65123246304887,272.14077644892285,RAI
14,302.1896693987062,292.5497983358393,RAI
15,305.7066790202212,296.35490424778504,RAI
16,252.36918202888305,237.87250294839995,RAI
17,218.3110356800671,213.58278197011614,RAI
18,282.9621309333183,270.75521075228244,RAI
19,311.16469048399887,294.4758598598078,RAI
20,319.3042039458825,300.7670058559283,RAI
21,232.50989237901604,221.9867154455028,RAI
22,262.22683597547604,250.733573775298,RAI
23,139.16612976642836,135.19374226879282,RAI
24,209.39129031197567,207.39119159919397,RAI
25,256.7666645333333,,RAI
