Minisector,HAM,ALO,Fastest
0,297.7533770178958,297.90639228799273,ALO
1,225.03533011674662,217.11934875943413,HAM
2,231.41943866920926,229.0540914499734,HAM
3,277.29851057012576,276.8397590499766,HAM
4,247.73490686788767,251.38803647140415,ALO
5,130.5431826382074,124.78180927936741,HAM
6,212.74547124370116,217.2840205549692,ALO
7,262.2047462460229,259.8685587790505,HAM
8,254.56326635267826,246.45405994314464,HAM
9,244.2700701465819,244.00429489631833,HAM
10,274.57708633293123,275.5066310433738,ALO
11,290.8835490457143,292.9775870379441,ALO
12,297.698206054321,300.39923760649566,ALO
13,300.9802400875176,301.69939248795725,ALO
14,296.2762999707268,297.4502138377335,ALO
15,258.70694973308593,253.81576821773623,HAM
16,249.32064895629716,247.4797948830687,HAM
17,278.3891690057836,281.7202419832004,ALO
18,289.97823529809017,286.7320720688995,HAM
19,159.10792780021973,155.494559294319,HAM
20,212.0191228160031,213.89712656761907,ALO
21,204.7820179439653,170.51383757640318,HAM
22,136.55771370105015,157.48486496507388,ALO
23,243.95849424241646,248.39332617547694,ALO
24,280.3081356504473,285.87108725145094,ALO
