Minisector,PIA,SAI,Fastest
0,274.74411761045195,268.49268168048485,PIA
1,231.90427837121024,241.84990313797545,SAI
2,119.00886768097479,118.8664566713468,PIA
3,171.91505484937326,172.74534666558924,SAI
4,187.96168976737326,185.06956520417555,PIA
5,202.27771293735276,203.2720763205861,SAI
6,267.6723217038961,263.85183017311897,PIA
7,289.2873530729412,285.3301882706767,PIA
8,230.37519588431246,244.2019221483506,SAI
9,147.97762899175868,147.8163249593525,PIA
10,123.31038173015763,115.25396397967927,PIA
11,161.5390959678673,150.9605225150718,PIA
12,244.2506344645066,238.61991899999998,PIA
13,149.54353884773107,157.2781823664138,SAI
14,153.75696000694754,144.0085082240422,PIA
15,105.61358544224353,115.89139573561955,SAI
16,222.61228442923928,205.36199241345403,PIA
17,237.1247889760571,244.52644771475215,SAI
18,128.36424733360067,124.34294679791653,PIA
19,241.37993861626376,233.57569526875304,PIA
20,278.9152531714286,271.1182758104308,PIA
21,193.99942912228215,210.31519992602344,SAI
22,156.53450265730612,146.73326450424477,PIA
23,217.89788332603075,215.49998331665225,PIA
24,233.02088587202124,219.05890467502013,PIA
25,258.3333333333333,254.30807213333333,PIA
