Minisector,PER,RUS,Fastest
0,279.41859830787877,295.11083703161904,RUS
1,292.4420609105473,311.3297949103399,RUS
2,297.79032120117785,320.7392387370308,RUS
3,297.82619762229274,316.6348874856079,RUS
4,168.63010107598228,145.131477793167,PER
5,203.43906475720163,205.018384451046,RUS
6,232.15823288318217,230.79356526222224,PER
7,263.89675268244895,261.902409587134,PER
8,252.00902863480468,235.12980182177517,PER
9,155.18648475564004,158.00816452407474,RUS
10,216.8773777542798,215.27150331455525,PER
11,131.39065860502163,127.3544479260937,PER
12,223.41815232433748,226.64937859635313,RUS
13,175.52635330521406,172.49269174153778,PER
14,211.91127697772984,210.71037454049062,PER
15,226.23423015902807,224.35708142018152,PER
16,255.61433201874894,256.13579879575303,RUS
17,283.66484937142855,273.5182543714927,PER
18,153.14393744279113,146.97248998700115,PER
19,164.27727968170373,168.35416072248518,RUS
20,139.96438484401355,140.9567460064385,RUS
21,153.58134135869707,151.33843553019418,PER
22,110.9591965904933,106.7413150081415,PER
23,217.58644956675323,214.84928012095952,PER
24,263.40286845765047,262.4123848953545,PER
25,,275.2499984,RUS
