Minisector,PER,RUS,Fastest
0,301.8379700522637,294.71142437034933,PER
1,235.6408148024593,229.32755951576993,PER
2,130.23524491928143,132.93416198426507,RUS
3,240.27523485521297,232.58122677042732,PER
4,190.36103622711622,193.91945449629708,RUS
5,239.0869839826601,241.51212364450217,RUS
6,228.34583774265968,221.6446644097122,PER
7,251.85205317902776,255.1977293877551,RUS
8,288.8295206254101,282.53570947727366,PER
9,202.1219533622857,205.77625742316167,RUS
10,201.28629494070768,206.05251325603726,RUS
11,271.45575131026726,270.51366537784554,PER
12,209.82355054730158,210.2162084302793,RUS
13,247.8936082864397,248.48428649021554,RUS
14,292.0035922577226,287.59834298729635,PER
15,308.1640708864548,300.7064360434358,PER
16,311.13074221954884,297.48619797992353,PER
17,233.21523606185886,232.88774241348352,PER
18,269.80823626373626,264.87683032169315,PER
19,298.5317615955776,290.6786408743896,PER
20,313.0097865704006,303.48510469652206,PER
21,313.9217843948052,300.8391459627329,PER
22,150.88723235287418,151.27318767810502,RUS
23,228.9064111233221,227.240215947561,PER
24,285.0985097869597,278.4588366670933,PER
25,295.8750016,288.82970564441683,PER
