Minisector,RUS,OCO,Fastest
0,275.08746872242426,282.7934839254701,OCO
1,157.23213382935162,153.5106332066609,RUS
2,146.428662771811,143.23273450842743,RUS
3,221.8701581383572,224.1787604212011,OCO
4,279.3343577898137,283.21963955336787,OCO
5,276.6923917336506,287.91436084293275,OCO
6,142.89118888391857,135.0384251394276,RUS
7,141.95818968374778,132.63789886142132,RUS
8,137.54710525123127,138.84031262350481,OCO
9,189.12420994589567,185.08783120381892,RUS
10,130.6212748889441,128.35285618839316,RUS
11,120.31680250191619,120.2998250484553,RUS
12,166.507054895413,160.34329518365683,RUS
13,265.0890671920773,264.5291987637607,RUS
14,282.6851242287521,286.32869730403496,OCO
15,144.9091547322121,143.9929326381945,RUS
16,206.292605223765,201.6791711211159,RUS
17,175.47718068912377,163.91802529550264,RUS
18,267.58387071410795,269.4425765558793,OCO
19,288.5144444789611,294.9542965367965,OCO
20,300.775905916753,311.22973316663786,OCO
21,306.9100287985418,319.4050906916437,OCO
22,309.6641362215734,322.9437252021164,OCO
23,311.205015712364,324.4387563642732,OCO
24,309.02748205835746,317.04884684041645,OCO
25,303.8458336,313.3166670222222,OCO
