Minisector,RIC,KVY,Fastest
0,280.5654419974455,275.989275228713,RIC
1,296.32293075839436,292.6661137360316,RIC
2,290.4524997184107,285.1206945880693,RIC
3,175.33583877773626,176.01427242421383,KVY
4,127.58713310173503,132.22942446231613,KVY
5,244.49395453910546,248.03477022947143,KVY
6,295.5614353605707,295.25713708700755,RIC
7,298.13920794024835,302.0997227204543,KVY
8,169.09277674896893,165.24322930076312,RIC
9,147.58073349672318,149.540004355187,KVY
10,257.0943374876318,256.56634014427885,RIC
11,290.09452951747875,288.78270325047106,RIC
12,294.9447452331349,297.7324633618057,KVY
13,281.5078565577618,283.2642540766532,KVY
14,302.0253304173418,300.6693934181072,RIC
15,303.3247426636298,301.9261455605268,RIC
16,251.10250119493477,244.14389341134327,RIC
17,231.26347415273358,224.5988046519176,RIC
18,291.7868226934415,287.5887802655546,RIC
19,321.3155398228479,317.9880943390989,RIC
20,324.8928966955153,317.7468323723468,RIC
21,205.67194095896767,208.25278964391256,KVY
22,254.89532694722743,251.27763703676555,RIC
23,139.05528031824514,135.38927730150382,RIC
24,220.45834806956057,227.4232836218008,KVY
25,263.22500053333334,,RIC
