Minisector,RIC,HAM,Fastest
0,261.3164120054422,267.552176008582,HAM
1,134.02802911913852,133.46762505749794,RIC
2,194.0853781879604,194.8335422574027,HAM
3,242.61696396190476,246.30176860438752,HAM
4,254.19356485612244,259.34821377959184,HAM
5,170.7736026767033,173.88446961682334,HAM
6,143.24121535239988,145.1617850255805,HAM
7,184.94261758899006,182.12677332157642,RIC
8,101.6213110836332,98.94645910589263,RIC
9,77.40151233630291,75.06624519208998,RIC
10,97.61694411182772,97.77263831343697,HAM
11,180.87424048039966,182.29496247476033,HAM
12,241.78093097384647,246.5886819381079,HAM
13,265.33571405714287,270.9639681866534,HAM
14,276.31039059231216,277.8732547768009,HAM
15,123.45754444937809,108.06981831671018,RIC
16,136.19045034392076,150.97074187064456,HAM
17,188.82459208822056,177.32500948692,RIC
18,195.63822846730417,193.45607511059916,RIC
19,215.04879122170126,201.28590499106474,RIC
20,136.21991470579263,129.3054561696331,RIC
21,121.20984361151805,104.78023201620108,RIC
22,92.87273681813069,96.37359075293634,HAM
23,190.37708432592592,197.62723315298385,HAM
24,244.14918304676894,250.43720129523808,HAM
25,259.38,,RIC
