Minisector,RUS,SAI,Fastest
0,290.06673802423495,297.81451284172334,SAI
1,302.14850450486983,315.2177509822825,SAI
2,309.67848058612793,318.6059523047619,SAI
3,308.01317141421345,318.21805546666667,SAI
4,189.38926089116157,185.1814264376081,RUS
5,222.95415666296253,220.86002526346005,RUS
6,269.61781620451126,268.3915048432468,RUS
7,258.7135641324899,265.37220697448885,SAI
8,192.3140740623507,192.47570378105144,SAI
9,143.09368937650794,140.3292855025214,RUS
10,182.7507565143209,185.4189609607159,SAI
11,263.06102940082053,261.39058842352944,RUS
12,243.74218092066158,248.92024196672324,SAI
13,226.55684637866668,225.17623505493336,RUS
14,273.0238004730545,268.93890610713436,RUS
15,166.68104264349208,162.0991826872829,RUS
16,219.82774966439698,219.83075390522887,SAI
17,244.4981677606349,237.63605855832597,RUS
18,132.40202899696388,130.90071598522914,RUS
19,244.96801034387244,242.13162059580952,RUS
20,286.0009146883919,286.02031311238096,SAI
21,249.56500928831167,252.8579609962482,SAI
22,140.94302829264834,137.3508995175037,RUS
23,216.8495473634142,210.41641410111723,RUS
24,273.7702909016191,269.9791038440248,RUS
25,286.0590917818182,286.81000192,SAI
