Minisector,VER,LEC,Fastest
0,281.1177185041812,279.5145243755026,VER
1,297.41290111212146,296.16210573468095,VER
2,294.98674447140644,294.3353748458639,VER
3,187.3554041529522,176.12253862179443,VER
4,134.86829383010584,123.90955456501091,VER
5,244.11726945698166,240.89265694272126,VER
6,283.4182980778038,282.81563972195045,VER
7,290.82692246153846,293.5765704374715,LEC
8,191.5418000702392,183.01007765669434,VER
9,154.1649308410548,148.31398930360135,VER
10,256.5545398285714,257.7355024071562,LEC
11,291.47756246868454,291.5359474753928,LEC
12,304.4598767987761,299.2779000875078,VER
13,292.08657217285327,277.8044786850117,VER
14,301.32037557069526,296.15741216186194,VER
15,302.83442230647154,302.1169866405268,VER
16,265.9080564100822,253.0328804466338,VER
17,239.6825426404548,221.18126043515846,VER
18,279.8254442891479,276.44727606153845,VER
19,297.12016045460814,298.1632286506856,LEC
20,299.32024641105585,302.7988329386667,LEC
21,247.32463603339687,230.77307876430334,VER
22,267.91899123938856,261.6518286857143,VER
23,145.66338297420236,144.1147436335192,VER
24,227.01029311167767,217.76887365387628,VER
25,,260.4333354666667,LEC
