Minisector,RUS,GAS,Fastest
0,279.18518620506427,267.272000048,RUS
1,114.17829033907013,115.01992649692762,GAS
2,165.97271253743162,157.30278477081856,RUS
3,216.6287840441457,210.93562590222223,RUS
4,158.2537033425226,154.48749729232182,RUS
5,241.0041256098399,234.2469733366072,RUS
6,206.71233395129812,195.85857555132276,RUS
7,135.10539098263527,130.39613477063045,RUS
8,235.6408938736804,231.09390392177778,RUS
9,277.0856944444444,272.9818421350227,RUS
10,286.4384694637004,274.93667710944027,RUS
11,153.26847152444444,145.79520205762557,RUS
12,226.11146392352487,218.38921487603304,RUS
13,273.1077596689386,270.11803091289744,RUS
14,273.5190367965368,271.35262923801025,RUS
15,101.5567689348067,100.48028617285287,RUS
16,211.9377724289855,214.7695968762634,GAS
17,267.98350932274485,266.47502081628545,RUS
18,304.49978524743227,287.5589343459197,RUS
19,317.3147544347016,297.12607815011654,RUS
20,325.5117593244444,303.13856061269354,RUS
21,282.99157894736845,288.62104166666666,GAS
22,149.23697501976955,150.96333194277264,GAS
23,238.34186792372654,218.56444486584186,RUS
24,280.4295399669304,271.0073809904762,RUS
25,283.95000319999997,278.0,RUS
