Minisector,NOR,OCO,Fastest
0,269.0052538474163,259.0615076266282,NOR
1,290.34576362666667,276.405231122963,NOR
2,296.568245252845,283.6512952013427,NOR
3,124.89338688779196,129.05535885976903,OCO
4,191.33842751598092,184.28932850285716,NOR
5,252.2104095190807,248.94632237176472,NOR
6,134.981847836193,134.95619203779805,NOR
7,194.75631115200002,196.8400162761483,OCO
8,254.4230847315825,251.89493943314287,NOR
9,274.19721146907494,274.54803497116126,OCO
10,229.47091558956524,224.61077476963922,NOR
11,184.47770400881618,175.0732023369697,NOR
12,184.68774931820604,182.47696464755282,NOR
13,142.84651567596194,138.56440936051482,NOR
14,161.40881826402625,163.68888065890764,OCO
15,150.92568586672928,148.0086095459774,NOR
16,206.67321208357404,208.45718133541124,OCO
17,230.25028933355523,226.71439872358914,NOR
18,229.33082578498468,230.36424930763752,OCO
19,253.1811074673716,233.80974461008816,NOR
20,140.97746965186903,139.54691838973548,NOR
21,133.3381592687643,134.81196795009757,OCO
22,160.44644385086758,156.66456530835327,NOR
23,148.1460941585166,142.34528603120214,NOR
24,217.883478890952,222.10495129295236,OCO
25,246.52307593846155,247.7124992,OCO
