Minisector,NOR,ALO,Fastest
0,292.3000334307318,305.01745774500745,ALO
1,302.54592622336156,320.3596708892022,ALO
2,280.5598541021645,295.8984970739459,ALO
3,111.69907812676684,107.29747213023245,NOR
4,225.8819001619368,225.30899023785105,NOR
5,272.6771638366874,269.3506904637129,NOR
6,216.49699384447413,200.57784201743146,NOR
7,168.0868360920168,169.58720512571736,ALO
8,211.9420670218404,210.27363254300545,NOR
9,216.88779070753822,223.32169869208738,ALO
10,118.15915416227828,119.69367633050504,ALO
11,230.80974639519147,232.61242946620953,ALO
12,117.77920740784865,120.49891511062164,ALO
13,224.2596070144108,221.02099017665657,NOR
14,275.96802135533756,273.0197513586147,NOR
15,229.89273447682538,217.38326257161197,NOR
16,192.82608198448202,201.9737887529837,ALO
17,253.43529515338227,255.486125401378,ALO
18,207.12864464994405,206.2673493533882,NOR
19,182.0653833736937,200.99073094523393,ALO
20,263.31541715724865,263.75234277626595,ALO
21,290.27937866447206,286.5757653659864,NOR
22,170.08077976019098,167.8370743297805,NOR
23,210.17822886884628,208.29103046174396,NOR
24,274.70627836559885,269.6226344886312,NOR
25,,281.8541664,ALO
