Minisector,OCO,PER,Fastest
0,290.98906213333333,295.64313725490194,PER
1,301.72662856666665,302.29222293333333,PER
2,158.4149164001242,164.7033048275862,PER
3,222.0687136721885,225.15619273623096,PER
4,276.6271941904762,279.8638603086421,PER
5,296.69886087316917,300.4488888888889,PER
6,305.3466145333333,308.2997396,PER
7,178.24098388338882,174.47205899018198,OCO
8,124.19762391487765,131.44066077464387,PER
9,249.79800908935502,254.57870370370372,PER
10,285.60499996444446,287.75638876444447,PER
11,297.90026033333334,297.4565104,OCO
12,150.91850652687057,146.1182596392157,OCO
13,189.89719181180476,197.55294150622152,PER
14,260.6357445427984,262.7074074074074,PER
15,194.66284791111113,191.2822199484567,OCO
16,217.34598110838652,215.28591243174603,OCO
17,208.02424281212123,210.10760904347828,PER
18,240.7701945939022,241.4213616629283,PER
19,274.6416665098039,276.99944184761904,PER
20,292.34834447619045,292.16562493333333,OCO
21,255.79396956087314,250.66370737010908,OCO
22,218.54394007272728,213.34325455238096,OCO
23,201.64015132121213,201.17678683664963,OCO
24,265.46842173007394,269.3463231372549,PER
25,284.18333226666664,,OCO
