Minisector,PER,RIC,Fastest
0,304.89176052105404,301.6426268801308,PER
1,235.96583472055386,247.00488220689655,RIC
2,193.92800596801067,194.5476430716914,RIC
3,270.5066086645397,267.3120159266314,PER
4,225.95664133333332,225.22920922340808,PER
5,110.28214265288112,108.42093237183842,PER
6,175.41450958445253,167.3276350152946,PER
7,257.6487948830138,253.82045173877552,PER
8,288.58714224695666,284.50144008301,PER
9,304.95196692008284,297.42353685079365,PER
10,306.9211507219769,299.9059782956522,PER
11,226.83216056666666,232.67649858822904,RIC
12,148.68155428994788,141.69998661285805,PER
13,259.8392234324274,253.29228562962962,PER
14,294.21321423847616,286.6956231665934,PER
15,305.26195659130434,293.9567707111111,PER
16,298.02300006400003,281.4808638419753,PER
17,255.94925607619047,245.4172391724138,PER
18,176.48250590661894,168.84030709123107,PER
19,182.19391066142455,185.9374600602282,RIC
20,166.76835309569162,166.93827735813954,RIC
21,240.3782795423656,244.86127622843054,RIC
22,121.90803927144067,121.77044134320366,PER
23,191.64751470382743,188.174667614835,PER
24,288.18894244102563,277.85277103589743,PER
25,,294.1250012444445,RIC
