Minisector,HAM,HAD,Fastest
0,268.5476044127677,276.3257936507936,HAD
1,117.35126370809125,118.8209216222374,HAD
2,163.22877011695644,151.49355921855923,HAM
3,198.25353407933747,206.69969696969696,HAD
4,165.86401076477497,165.43798076923076,HAM
5,234.72216571555555,239.28645181978516,HAD
6,186.16592726311475,209.89358148418705,HAD
7,134.32283763937622,133.50850418871252,HAM
8,243.8436639208697,239.50073353091352,HAM
9,289.1207182518518,283.18515625,HAM
10,276.1228712293037,282.4462932900433,HAD
11,151.9274953731889,153.51487478329673,HAD
12,230.4159805921936,223.9263157894737,HAM
13,280.1974076760494,275.39070751630004,HAM
14,246.15438383199998,251.84576719576722,HAD
15,92.27522392829597,101.68810034340468,HAD
16,229.49583990675316,225.56941007096086,HAM
17,294.6476300960706,287.21952645751634,HAM
18,326.24218317714286,312.98221288515407,HAM
19,334.05859009809524,319.9430803571429,HAM
20,330.01627946773226,313.75047936468155,HAM
21,281.33337234106443,290.33704716336297,HAD
22,149.22055244101276,159.2276164651526,HAD
23,246.176166857754,235.9448117672536,HAM
24,298.86889212396295,280.9483843537415,HAM
25,314.3624992,286.0,HAM
