Minisector,PIA,BOR,Fastest
0,276.0259317754386,273.063454228872,PIA
1,301.20754797603564,296.3483473389356,PIA
2,314.57280998643273,309.33855545060266,PIA
3,321.1252232,316.08103830316287,PIA
4,322.95416666666665,319.6095555555556,PIA
5,325.5904761904762,321.504375,PIA
6,219.35955008689342,208.9484290406163,PIA
7,107.26177128760173,105.93139140948496,PIA
8,177.4568503128836,187.64008112873134,BOR
9,258.29082369866944,257.3778359360512,PIA
10,289.68583118714287,289.18706104190477,PIA
11,159.37324258935766,171.35740549635648,BOR
12,93.0503799116308,98.94741111790535,BOR
13,117.14367254922202,112.83910855645279,PIA
14,222.9895014447802,221.06096915475408,PIA
15,193.25244175283268,187.90387652040937,PIA
16,223.90865729513825,223.50177653966733,PIA
17,182.35493983288887,182.5533976448267,BOR
18,241.43647824874677,229.00708616780042,PIA
19,279.6944912366578,274.5816176470588,PIA
20,261.61710557262035,256.6274650347331,PIA
21,148.77158894895717,150.80076602963706,BOR
22,97.68824391903081,93.77997411469603,PIA
23,123.93836229938967,120.66760839889226,PIA
24,228.4445801760584,210.76928831111113,PIA
25,,253.5296886,BOR
