Minisector,RIC,RAI,Fastest
0,282.29629777777774,292.7536416717087,RAI
1,129.621403562477,127.19251673138412,RIC
2,167.62634856208163,161.4466203296163,RIC
3,223.36729226666665,219.4104203460807,RIC
4,170.31273782623765,159.34122528901324,RIC
5,246.38662640072985,245.55589945902088,RIC
6,219.66704766060604,223.35817887919066,RAI
7,139.23211178719222,138.23458206710552,RIC
8,235.69669990893289,239.35812442666665,RAI
9,275.87328409635853,281.20312466666667,RAI
10,278.68578560000003,290.579167,RAI
11,146.74455863988547,147.7622485010101,RAI
12,223.31422958951515,226.91549570558718,RAI
13,269.96966708891733,276.4264700235294,RAI
14,270.73235312941176,259.31088112592596,RIC
15,106.71908880653383,99.09876051585631,RIC
16,220.74395749391502,223.72465512795927,RAI
17,273.71214307220976,279.38749913333334,RAI
18,294.5319841930159,307.4790075733334,RAI
19,304.72281098140905,323.2680645985139,RAI
20,310.099000010898,328.29531736380954,RAI
21,292.5174098,294.1463568,RAI
22,159.39902986666667,152.61543743901692,RIC
23,237.9640354245614,238.99999859649122,RAI
24,279.8270760309385,285.9264877883598,RAI
25,291.03333333333336,,RIC
