Minisector,GAS,LEC,Fastest
0,291.4635416533333,291.14833960902257,GAS
1,232.8860908964263,217.90798781808812,GAS
2,144.81745579557725,140.4354364085459,GAS
3,219.66275883949555,219.68636831976735,LEC
4,163.1660157,154.5621674532213,GAS
5,169.0862826420891,170.58797346138192,LEC
6,247.59387755102043,247.9848483878788,LEC
7,271.7463094857143,270.7136062760828,GAS
8,279.28055555555557,277.0125000421053,GAS
9,235.8677084,253.67270424671202,LEC
10,228.07819444444445,243.88764716229616,LEC
11,232.98647186147184,244.9492425212121,LEC
12,203.4676281025641,211.396333312,LEC
13,138.29285356858614,138.0687218039408,GAS
14,148.23401594069253,149.98755857851665,LEC
15,177.3063887593651,172.97094314124442,GAS
16,254.00505424141426,249.40513817212593,GAS
17,233.43167701863354,241.4867910254868,LEC
18,112.66443861946472,112.0658231632474,GAS
19,195.2421294617284,191.53896673197278,GAS
20,188.6728330957319,193.65138899753086,LEC
21,227.08972561490683,230.19358285694852,LEC
22,261.1497004775075,262.78220211654735,LEC
23,277.2739137156924,276.09004368074005,GAS
24,286.3500000533333,285.036058883208,GAS
25,,287.63571382857145,LEC
