Minisector,PIA,GAS,Fastest
0,275.5907468578081,267.272000048,PIA
1,123.82362481316156,114.27629180381564,PIA
2,167.4167916764064,159.64662179490662,PIA
3,216.64532577422221,202.77907487604938,PIA
4,164.32537096681094,159.28851298270686,PIA
5,242.55056038028985,237.58632285856103,PIA
6,196.19689165586814,187.66438448507935,PIA
7,132.15161082351378,133.38288643708054,GAS
8,233.87484204842895,234.2939039217778,GAS
9,278.2426311111111,274.91349956651277,PIA
10,285.3543575771428,267.6501858813701,PIA
11,150.43467886408843,145.11783533380265,PIA
12,224.240276350839,226.80834427012988,GAS
13,274.34738028190475,273.2812252240085,PIA
14,256.373995210582,250.33875385273657,PIA
15,101.21617528258565,98.46116818036822,PIA
16,224.4700008838765,220.39235225827804,PIA
17,273.33570343685494,270.25166330720276,PIA
18,292.05594155333335,289.77817460317465,PIA
19,300.6671753346556,298.742985186014,PIA
20,304.7092162488889,303.9605172136699,PIA
21,271.05881628885686,266.4835185185185,PIA
22,141.41638611956668,152.24102102344742,GAS
23,233.959736008,232.28922395478074,PIA
24,277.1454501879524,273.7652222577778,PIA
