Minisector,LAW,SAI,Fastest
0,292.5314880850069,277.11388893121693,LAW
1,299.3582954181818,285.66345061052635,LAW
2,236.21486784288405,221.2950541468132,LAW
3,117.1438915350671,110.5489125083015,LAW
4,135.72720712862935,134.5782177823547,LAW
5,255.80172920329755,259.2633159928723,SAI
6,252.23140068848485,242.46509959232574,LAW
7,126.38131101771118,126.97512438402411,SAI
8,242.510597857094,247.38058028761904,SAI
9,244.13285014186667,244.20215795269755,SAI
10,204.11289828151226,192.48794332529098,LAW
11,142.46081147592827,134.7392662036536,LAW
12,208.9197906793651,210.59791481890514,SAI
13,256.0443020488931,253.33749185821947,LAW
14,118.23748060837865,109.13640828209968,LAW
15,181.716158768153,188.2084877653583,SAI
16,264.1950646866818,266.62976532273365,SAI
17,308.24027864045445,314.31601717213425,SAI
18,322.2389611082251,334.7543832205755,SAI
19,321.36838249411767,334.28056861629625,SAI
20,311.84878771435115,325.29421271111113,SAI
21,169.66586179750917,194.46966267323012,SAI
22,143.18945196133126,127.74672857149311,LAW
23,183.15605620666196,180.59382110773743,LAW
24,247.9695896184127,224.4392691781818,LAW
