Minisector,VER,BOT,Fastest
0,306.2494018557522,311.63645826666664,BOT
1,238.63223804018307,243.27978485722423,BOT
2,138.7238074936591,141.18348946158642,BOT
3,222.8689571835385,223.41246413756204,BOT
4,266.6738186769262,266.1943817139126,VER
5,290.2640227575434,292.64808538328487,BOT
6,302.30690487873017,307.71153846153845,BOT
7,279.37170694934105,293.18711544588894,BOT
8,176.46198728074305,184.67394689658002,BOT
9,241.8179225124577,245.0239048452805,BOT
10,273.5265772728767,277.1234138459953,BOT
11,264.4035407364151,271.13292836221626,BOT
12,215.00553119336456,216.4860442500322,BOT
13,132.58237466084518,135.76913579465466,BOT
14,126.10304369282107,128.01861055574614,BOT
15,170.55626666079914,173.20302021789627,BOT
16,129.04185925767098,131.05538546998554,BOT
17,234.23814079899026,235.25436605019993,BOT
18,191.09024605339098,199.75772728164145,BOT
19,169.41087460894198,172.568198467252,BOT
20,247.8327566727681,253.64307906153385,BOT
21,275.90653033592196,280.48073219165747,BOT
22,292.47020095238094,296.45622532751963,BOT
23,301.82580883256065,306.66830535788745,BOT
24,306.8059426710223,310.25694435555556,BOT
25,308.0,,VER
