Minisector,LEC,SAI,Fastest
0,291.6332176150427,292.4854681406555,SAI
1,161.3407477908598,156.07865934371915,LEC
2,174.74281137824997,179.25462526715899,SAI
3,256.54951360801056,257.99685016806876,SAI
4,289.18492927343794,287.58322524444446,LEC
5,261.502979835393,251.09349198603994,LEC
6,227.6869787860202,226.2468798619798,LEC
7,150.75574525918273,150.25113494107583,LEC
8,226.17927692883785,226.34442926728408,SAI
9,279.4448864982857,281.432403713063,SAI
10,297.86030287515155,299.0478945122807,SAI
11,307.58107983310657,307.8596215727752,SAI
12,311.5122180330827,312.6515365934837,SAI
13,310.1687919146667,312.12521988651633,SAI
14,127.16744347774379,121.52757484704158,LEC
15,119.45194021976566,117.2494887535167,LEC
16,104.41928054083101,109.74736285372747,SAI
17,237.6079764978882,242.8792177377778,SAI
18,286.219132397361,289.347951905655,SAI
19,307.697321264,307.7018628968688,SAI
20,318.3492186826667,318.2757146522367,LEC
21,319.54755003109,320.7055618531987,SAI
22,125.61809679435255,117.39616202950967,LEC
23,203.53498201379443,216.612923397871,SAI
24,269.58400843638606,272.1049371221055,SAI
25,283.3531248,,LEC
