Minisector,MAG,KVY,Fastest
0,281.9173811657143,288.839215372549,KVY
1,290.57382574298776,299.2762644651898,KVY
2,293.38445382633057,302.63776033333335,KVY
3,292.2379902117647,301.9980387764706,KVY
4,179.5689500743776,173.54124100426736,MAG
5,214.89254669648034,220.2065889173308,KVY
6,246.183875168,244.94189136480182,MAG
7,265.7535715689223,268.1064813037037,KVY
8,265.2649129543859,260.4550595657143,MAG
9,169.17517504435398,166.34915165832658,MAG
10,231.64124284081632,231.87986979740262,KVY
11,139.27182407162925,135.78084250462243,MAG
12,222.2769317106188,222.33518394255123,KVY
13,200.30401189135804,193.41474486153845,MAG
14,218.26936428148238,217.93939345454547,MAG
15,252.58806540190477,249.09604154666667,MAG
16,262.76568235216814,261.4983476320841,MAG
17,279.97661997037034,285.1744189604442,KVY
18,134.28451292571364,128.48659776911555,MAG
19,162.92755257019968,161.59212679569893,MAG
20,147.28326776708334,147.8553297120317,KVY
21,173.24805451047203,167.6790463237439,MAG
22,117.53551697777777,120.42594418025553,KVY
23,218.90687417850668,229.0188947852473,KVY
24,263.8803830763648,270.029256152381,KVY
25,276.15,,MAG
