Minisector,ALO,NOR,Fastest
0,308.0060185481482,305.92914760083937,ALO
1,228.38077235996096,232.20240702939958,NOR
2,130.66613037392537,130.54769835632527,ALO
3,212.47858216589262,217.417833216,NOR
4,258.7018711292517,264.78578947368425,NOR
5,286.94500876235054,288.94473678596495,NOR
6,302.8635267427346,302.7046296296296,ALO
7,276.1066654933333,279.4089473684211,NOR
8,170.91785912089355,172.05801713809524,NOR
9,238.3635356753623,239.4679077250479,NOR
10,271.8666666666667,273.4891666666667,NOR
11,258.23888569774,263.98833333333334,NOR
12,200.30560873846156,202.71043584624647,NOR
13,123.17853610070665,124.80130413424037,NOR
14,121.22758001346752,119.21236242837307,ALO
15,156.31973041568628,165.7211094664845,NOR
16,125.01391301515102,116.29723991178986,ALO
17,220.6361111111111,224.55260404444445,NOR
18,178.83586116888912,180.23044624285237,NOR
19,161.62511663474163,161.45367265595013,ALO
20,243.30871858058558,247.91904761904763,NOR
21,273.6379073764411,277.40813518682944,NOR
22,294.3521358072829,293.74745368888887,ALO
23,313.1357376912414,302.8460784313725,ALO
24,326.0088625185185,305.78771929824563,ALO
