Minisector,ALO,OCO,Fastest
0,250.07524804883704,252.47135345020266,OCO
1,215.79472929807292,211.48047043291965,ALO
2,205.49907538139107,199.88015072644052,ALO
3,260.3254386767148,261.91239684489665,OCO
4,274.4084656572618,277.0203079998349,OCO
5,289.9088754061396,292.2496156474566,OCO
6,158.666559068585,162.73646340729186,OCO
7,182.88894888061932,164.42979729282794,ALO
8,266.6307587885714,266.47986936693184,ALO
9,293.185985852919,296.8920722002288,OCO
10,304.89024152582795,308.53594987301585,OCO
11,302.0160656958543,309.15640203260625,OCO
12,105.56253709619646,118.21869782578497,OCO
13,182.7191637123121,173.96644958049745,ALO
14,266.38650942716504,265.1217926737167,ALO
15,291.7178994329258,293.4795644926127,OCO
16,296.82710974858435,299.1569611845464,OCO
17,188.7264618832462,196.79311434951504,OCO
18,222.09175023039572,208.97439959720975,ALO
19,268.3477383938578,266.8030148372844,ALO
20,148.8760401848277,167.74453797376347,OCO
21,142.30784216098246,136.1827723052877,ALO
22,215.03132802983149,199.28611367938316,ALO
23,229.75054732578093,249.93665936665002,OCO
24,161.33576632104118,151.51818429674117,ALO
25,,220.01785714285714,OCO
