Minisector,VER,HAD,Fastest
0,260.98186973874124,244.73312409481483,VER
1,139.1218542754947,132.755980835745,VER
2,200.1722323968254,202.33532847238095,HAD
3,246.27175517567122,239.7879383665687,VER
4,263.3958257367521,256.3655445694115,VER
5,188.73589588525573,184.11394737381983,VER
6,147.38441797731633,145.8226959069315,VER
7,188.07914144985995,181.6860394989899,VER
8,98.610521303256,102.24041469329813,HAD
9,73.57845707496811,76.57691773015479,HAD
10,97.7614164732039,94.0934943745734,VER
11,184.77620532148148,172.5912503632253,VER
12,245.22468798,235.89555561885524,VER
13,268.31158443369964,260.3973120030287,VER
14,278.454921546672,271.70864735673473,VER
15,115.23588551973063,119.71444164711248,HAD
16,152.9849429411486,137.41797313144588,VER
17,193.2341861496572,181.28840174222222,VER
18,202.13800617460316,191.163846058271,VER
19,219.51539217777778,221.70605871684214,HAD
20,136.55007651767198,133.60164191666883,VER
21,112.43377557036487,121.3664042451577,HAD
22,101.46797615423283,94.1950481350293,VER
23,202.4756573952822,194.54394617142856,VER
24,251.7393968680635,244.55697380444306,VER
25,,259.14000383999996,HAD
