Minisector,PIA,PER,Fastest
0,275.3691249689297,274.4275956158454,PIA
1,298.68489599343036,297.92358502871696,PIA
2,294.6264698150437,297.51162034962965,PER
3,169.32393093007016,168.77655094682206,PIA
4,117.97110393509645,119.38913521824242,PER
5,232.59246092326663,237.1960865153703,PER
6,291.37575154349224,283.7166297035294,PIA
7,310.10615833162655,297.8781890031746,PIA
8,180.82211738769197,181.87582569485608,PER
9,135.40103898359007,137.30247486734996,PER
10,247.34881148354916,248.67101021374572,PER
11,288.11094323620085,286.96183963336216,PIA
12,301.9477090875392,298.0529337795918,PIA
13,282.9140268071222,282.61240624896084,PIA
14,296.53151660773455,292.47734069684003,PIA
15,299.68818541945166,294.90573893818186,PIA
16,255.29022487487813,253.4644171264,PIA
17,228.68463963978834,230.76412838959817,PER
18,276.24069607120174,275.1784334990476,PIA
19,300.99782450701116,295.5635374272799,PIA
20,306.01578815317316,295.8705230517749,PIA
21,224.67735526128212,238.55951558879613,PER
22,257.42945472361714,262.59489078640314,PER
23,128.34379049728537,134.85118852610645,PER
24,212.1528738388758,215.44368526653145,PER
25,256.22500160000004,,PIA
