Minisector,HAM,GIO,Fastest
0,199.80510922948852,215.80128757925652,GIO
1,263.474217,181.80289238294284,HAM
2,292.63749902222224,241.91096095262535,HAM
3,306.3312300342857,293.1519198630619,HAM
4,176.1361153777778,317.98749923137257,GIO
5,211.61325452358452,209.0848832110628,HAM
6,272.16232184019583,162.98653247832678,HAM
7,296.1824554666667,260.21754743706526,HAM
8,301.96523104089636,298.12242979530856,HAM
9,230.68104931778146,319.11677749523807,GIO
10,109.25743775226466,302.8393991525164,GIO
11,238.16187537316017,103.80052310669612,HAM
12,281.17938487017545,207.37786292063493,HAM
13,296.31870455845507,278.38183924228474,HAM
14,183.55503428045975,308.3338574646017,GIO
15,150.97166813167024,256.90238354285714,GIO
16,250.1158718984127,127.25863908675196,HAM
17,214.64515061462725,232.58414411354167,GIO
18,190.51594412307693,239.6960101744264,GIO
19,228.51323857735625,171.23377875714286,HAM
20,228.55473333333336,220.06077829843784,HAM
21,270.2091658133333,192.31740983809524,HAM
22,291.85067604209775,252.8659279320246,HAM
23,286.3620388740741,283.7283671576659,HAM
24,234.93194453333334,298.7564391757576,GIO
