Minisector,RUS,NOR,Fastest
0,261.70832856960993,255.99750432000002,RUS
1,131.08367941047618,129.2842454432168,RUS
2,200.39882227984037,197.06962623558897,RUS
3,244.17708377142858,247.19641813679655,NOR
4,253.93414053688886,256.5984772854701,NOR
5,171.60162571033752,172.97829843682538,NOR
6,141.76872440575892,140.535181363552,RUS
7,178.5628149461472,171.29116549307815,RUS
8,96.00068115725871,98.16889323391102,NOR
9,71.40730672388803,69.24349237842539,RUS
10,94.896879849764,88.43363269435098,RUS
11,183.04990998949495,171.81909369825107,RUS
12,245.87888432006338,243.19778754461538,RUS
13,271.0242554130379,268.6125114240736,RUS
14,272.3638201422222,279.0668905745455,NOR
15,106.33688521906787,116.36200739355341,NOR
16,146.3212874011993,136.7927159175109,RUS
17,180.73385274850543,187.74842099580772,NOR
18,198.53380561624877,197.31417170462336,RUS
19,207.67290849044295,218.1430780978457,NOR
20,135.82455320170084,132.5003497485494,RUS
21,98.08497237189096,116.2990087772134,NOR
22,99.22131776046324,87.12933468975544,RUS
23,196.81963361918156,186.7541722478288,RUS
24,249.10706304313723,245.76637817517872,RUS
25,,263.63,NOR
