Minisector,RAI,STR,Fastest
0,299.07618435741057,319.2011054367347,STR
1,157.1066173424036,161.20456233650793,STR
2,157.87976104126983,195.13738393547197,STR
3,216.13901273629216,158.79454204288572,RAI
4,283.11979202424243,277.56340660869563,RAI
5,295.0141974668618,307.3271693083588,STR
6,145.7584024462385,155.00791491576604,STR
7,139.75593539448718,134.12691188290313,RAI
8,152.28689847887946,192.1071630593831,STR
9,169.43433603084358,126.93842141035798,RAI
10,136.06053466230648,160.9179632832944,STR
11,129.51287494568433,133.33267008908894,STR
12,157.79074068142353,122.70008021941906,RAI
13,263.359417248,253.28709804832604,RAI
14,289.67585195151514,285.2066746092059,RAI
15,154.17336076285142,190.80556105817664,STR
16,213.274633947995,175.3574987592424,RAI
17,159.6191866198843,151.3148757147287,RAI
18,264.79321342721215,251.67079087676456,RAI
19,287.22492864262057,292.55778006272664,STR
20,299.5282564882507,306.25094666666666,STR
21,306.5339568181406,320.86749984,STR
22,310.32066326349207,328.73248188753416,STR
23,313.9,340.97037013333335,STR
24,310.81090861026433,339.05187643405907,STR
25,311.0,,RAI
