Minisector,ALO,LAW,Fastest
0,293.6000710983476,291.19891309230854,ALO
1,301.2918877235756,303.08404898812125,LAW
2,306.16733224811173,304.76095111495295,ALO
3,183.40262557989172,180.72813162639454,ALO
4,208.27500366918414,209.16038150445777,LAW
5,208.1511156943159,205.89464272761904,ALO
6,264.1131652405195,265.00703384643396,LAW
7,252.8178888331382,245.8092214316883,ALO
8,212.39631110424455,211.47440878383017,ALO
9,203.32092642538655,205.16034696880132,LAW
10,141.34036211355908,146.30605464659521,LAW
11,201.81821819386835,197.13121232066118,ALO
12,184.70354099329128,192.98580053019606,LAW
13,252.0701973445614,252.35822362335412,LAW
14,177.87327424383207,175.857389212778,ALO
15,234.90179843995816,233.63943312018293,ALO
16,281.01598803957705,279.5874190383437,ALO
17,291.370045076337,290.88245618847117,ALO
18,282.6402630379092,286.758737609697,LAW
19,263.4914075728296,267.7157318759865,LAW
20,264.06959250290214,260.0894098666667,ALO
21,265.933064579601,262.21448655053393,ALO
22,232.08123348086232,231.57053671486403,ALO
23,200.73130598679757,204.30636435346597,LAW
24,269.5511629424017,269.1501799644444,ALO
25,,284.7499968,LAW
