Minisector,LAW,GAS,Fastest
0,317.16313094276336,321.4198529611861,GAS
1,313.3707730690909,327.01813632717085,GAS
2,166.25187647728677,160.42738094386885,LAW
3,159.1767163019174,157.6957107794217,LAW
4,197.16467117894973,195.42495768776013,LAW
5,147.50750669025004,142.98739617001362,LAW
6,200.99334337413865,190.8810168868547,LAW
7,271.62480112818946,271.39958663655506,LAW
8,292.41948953641736,293.6546875761905,GAS
9,286.0664060286731,286.95226164537394,GAS
10,235.7208032036281,231.97673667200002,LAW
11,240.07637108627725,238.8424694240063,LAW
12,213.95841321094426,214.4123605013522,GAS
13,175.78965877846076,181.2973861997558,GAS
14,139.6300307889324,129.02395144483435,LAW
15,130.58571116317378,124.49296860006615,LAW
16,204.01776017734323,189.80236965689548,LAW
17,267.7773602329283,266.740452096,LAW
18,192.0127004893773,209.81243244307691,GAS
19,114.12881383527869,110.55696354696046,LAW
20,206.8351206115601,196.03783128704183,LAW
21,181.48328624322036,176.19225612329006,LAW
22,252.70908634030974,246.35206823111113,LAW
23,278.6427670418638,278.5023457841078,LAW
24,305.11190580981685,306.749012536381,GAS
25,314.42916693333336,315.85500032,GAS
