Minisector,SAI,HUL,Fastest
0,296.4162728967282,302.70646268084056,HUL
1,225.25541896892562,210.02288482742858,SAI
2,231.49722370087113,234.82581134203355,HUL
3,276.64947153939397,279.1640410405541,HUL
4,251.6913992961401,237.39339133540662,SAI
5,128.65326448060287,124.00916980888915,SAI
6,214.4716939868783,213.2977288155111,SAI
7,265.4507171157098,260.7873172403743,SAI
8,250.98028906079847,251.123327392743,HUL
9,244.09050787214068,237.48354004947302,SAI
10,279.56462858327694,279.22951920728457,SAI
11,294.62217380136053,299.0533918236883,HUL
12,301.617169824355,309.8495472422804,HUL
13,305.6434125172487,313.5455101910204,HUL
14,304.6947316519529,312.99277131125996,HUL
15,257.9816441139231,249.29450572341185,SAI
16,247.08574627885386,243.53568671540438,SAI
17,280.78596909189645,282.90866446064615,HUL
18,292.6829165155556,296.71337508799996,HUL
19,165.3111291536853,155.7188574516236,SAI
20,212.776448708673,208.492943872,SAI
21,182.96245796669012,176.3919590273848,SAI
22,142.99189226324395,145.61550201184042,HUL
23,243.27237547329193,243.58315685543133,HUL
24,283.9871151912156,285.57771902064263,HUL
