Minisector,VER,SAI,Fastest
0,304.339996256,293.8499419160248,VER
1,159.4995307469398,157.33382892790135,VER
2,153.70715386563063,153.9921448879336,SAI
3,235.83322378239998,222.67616004481832,VER
4,286.41598924634303,285.0616973082844,VER
5,288.22979794882156,296.40199408087904,SAI
6,146.7138868581755,152.59238339768748,SAI
7,148.78076848851046,138.2638284651514,VER
8,142.72791291714583,153.17378090731924,SAI
9,190.45211395749686,175.73962235555584,VER
10,132.18976822323415,138.72279850905267,SAI
11,126.6686788839247,130.8318705953192,SAI
12,162.49698823548346,147.20534994574,VER
13,267.1637342741864,265.8799007464458,VER
14,297.7285651437037,293.38595872986485,VER
15,147.3001164038951,153.09964595945797,SAI
16,208.22362268743686,213.12677787905724,SAI
17,170.9528345027916,164.79124811882292,VER
18,271.85484984300143,268.33138946266826,VER
19,297.7031345801595,294.4724316699586,VER
20,312.38354255312794,306.9881273201127,VER
21,321.2037880193939,315.35291680533334,VER
22,325.9460606836364,320.27154274158727,VER
23,327.7113487157895,323.07729176533337,VER
24,328.3829561904762,324.4136507732162,VER
25,,323.34249984,SAI
