Minisector,SAI,KVY,Fastest
0,312.5353164600823,338.06706171951225,KVY
1,235.0895706247737,268.7070096916104,KVY
2,132.02538136495357,125.28420576371822,SAI
3,221.84879960401395,216.9801587301587,SAI
4,267.38726957615023,262.75478294581364,SAI
5,292.76299749955314,289.0152057743316,SAI
6,306.5544444444444,305.0,SAI
7,272.0605709893253,290.541238147081,KVY
8,169.27621780108925,177.413174427975,KVY
9,243.68251554644203,240.94585182567266,SAI
10,271.538935667934,271.5865671705156,KVY
11,256.50272524173107,262.1324263802954,KVY
12,203.80089739686605,204.13717106512965,KVY
13,125.59257865018508,135.40925270596006,KVY
14,122.77861680437013,123.92154177974031,KVY
15,162.79798472632584,173.82917400558105,KVY
16,125.26344055639986,122.04071714787513,SAI
17,227.06144558288236,228.80362927434516,KVY
18,180.46015301482032,195.45455003471184,KVY
19,162.12030464545433,160.1809553498434,SAI
20,250.42656422149125,246.57066127694148,SAI
21,279.613330187894,276.9137472789213,SAI
22,295.2366666666667,291.52834986584986,SAI
23,303.08919994416283,302.8144580434759,SAI
24,307.1763889777778,308.805857721165,KVY
25,309.0,310.0,KVY
