Minisector,PER,NOR,Fastest
0,257.43447970088187,259.2282404345679,NOR
1,223.03592912696973,234.89867658175325,NOR
2,141.54317311082505,148.47121011318671,NOR
3,237.55043451169894,244.41107420341567,NOR
4,267.0708331093333,268.79816661333336,NOR
5,171.26624343893118,186.51505090956022,NOR
6,99.0424882621806,102.32074610217506,NOR
7,137.99364209628993,135.4787504885077,PER
8,249.81333794318198,248.79465094379756,PER
9,167.54627362879947,173.56013451209094,NOR
10,182.69208901661008,188.36585525014107,NOR
11,257.8520740466781,256.32489305982904,PER
12,243.5372599784142,250.73481437377717,NOR
13,260.19877831296776,266.3139999146667,NOR
14,283.58835026756816,284.42688949137886,NOR
15,269.0560215139591,285.6538201777778,NOR
16,135.15131040421338,150.23871720771447,NOR
17,230.82984205999566,235.95621675509946,NOR
18,277.976449715942,276.4168972564029,PER
19,288.963586968116,286.8586318671911,PER
20,291.69813314632034,289.0776656099379,PER
21,296.54438409275366,291.11439393939395,PER
22,141.23106721382618,154.28666457725933,NOR
23,80.56143746330567,84.52341220343297,NOR
24,155.16632168284204,171.07202348952381,NOR
25,236.60416533333333,,PER
