Minisector,VET,MAG,Fastest
0,294.6595756389234,314.8097686583235,MAG
1,255.37095270325386,249.83285350846154,VET
2,200.6224705438048,197.35077371468952,VET
3,264.93260348953766,264.46833531333726,VET
4,244.08541583589744,227.72543174658458,VET
5,120.25517157703433,116.7455462058141,VET
6,183.5741491631978,178.72648902813975,VET
7,258.28697924444447,258.7881056408632,MAG
8,287.3118275700095,288.6613390187824,MAG
9,300.2662698666667,301.5108309637411,MAG
10,306.93985356589695,306.75851764302513,VET
11,241.21344878047898,215.70053904466715,VET
12,145.52561797893898,147.42287938968303,MAG
13,257.08478260869566,260.0874674053107,MAG
14,289.59575018461743,288.7662979918367,VET
15,298.481746031746,287.94773107330366,VET
16,294.4981504588191,286.87896368955427,VET
17,271.5841450943723,255.82640488924415,VET
18,187.39459513514635,185.4018428495495,VET
19,190.96049362039687,179.27705746241733,VET
20,180.4268776571947,191.25167399167955,MAG
21,249.17306326390704,246.6035372511155,VET
22,128.94004522333663,124.37137617224865,VET
23,203.80791231736575,215.07932116712078,MAG
24,276.18105497254857,277.43218636176584,MAG
25,289.0,,VET
