Minisector,HAM,PER,Fastest
0,280.79416289352554,277.747979064818,HAM
1,291.1467578493402,294.9622950384486,PER
2,241.82499261943641,223.03268817737612,HAM
3,120.68085927130522,111.39693345551258,HAM
4,141.56940957644466,138.86080682214967,HAM
5,251.10639140975945,251.93302020715137,PER
6,252.05562813224233,238.43500261978022,HAM
7,128.56508079282332,124.30749724920841,HAM
8,247.81308235867928,249.1466264224855,PER
9,262.9363870537199,254.12308555789198,HAM
10,212.4265987861791,201.0239336887774,HAM
11,148.74826254561341,139.55507402954765,HAM
12,213.38340035399833,211.0550251309074,HAM
13,256.72586682654963,248.28176632387962,HAM
14,119.87472838517049,111.38071682019216,HAM
15,200.6461488873795,194.99794158275776,HAM
16,259.41155381965933,259.04441221822026,HAM
17,285.98079618180344,287.78066325295276,PER
18,296.0544325677949,301.40672649144955,PER
19,301.54348226156367,306.64583338666665,PER
20,299.1014208653101,308.8349075169795,PER
21,164.64301790387924,131.57866651358458,HAM
22,152.7946846496559,179.02223482815515,PER
23,205.54997037119534,186.89471844211326,HAM
24,239.2775090093264,240.22608830715907,PER
25,268.5833322666667,,HAM
