Minisector,NOR,SAI,Fastest
0,256.0258425892421,253.32794929953602,NOR
1,219.4291104711111,209.57329145334444,NOR
2,208.60635845121953,206.18897836011115,NOR
3,254.97757587925926,256.2089444947908,SAI
4,269.94046707678433,272.2947852909926,SAI
5,290.4280209303704,292.1546135488765,SAI
6,160.0710333003954,172.54605439125547,SAI
7,179.2797747697831,184.78419678756114,SAI
8,265.86047156221423,267.76218644,SAI
9,298.0235906361905,296.71210568339393,NOR
10,310.24657505619706,308.33311926245426,NOR
11,313.0848212503704,313.67174259745366,SAI
12,117.73519555626284,110.54431913495401,NOR
13,185.8269131817344,192.06761590994577,SAI
14,268.5752185396825,271.1110251242328,SAI
15,294.63360844879816,295.8508957949683,SAI
16,302.49833333333333,303.40700432825395,SAI
17,191.09225170493508,191.98549011004127,SAI
18,222.1303346982313,215.66942812911336,NOR
19,272.5963526250292,271.4275449443907,NOR
20,146.24462385738707,153.52801457644028,SAI
21,142.86658578051558,145.19510338921089,SAI
22,217.78814999558097,221.55426879914728,SAI
23,234.03343650841012,241.4233592633966,SAI
24,161.4220758711496,154.7407726635923,NOR
25,224.85499776,225.84999679999999,SAI
