Minisector,ANT,SAI,Fastest
0,305.5904745354184,307.67213130068563,SAI
1,241.12829160655707,226.38423438896217,ANT
2,131.70189219758845,127.50390174168729,ANT
3,238.6306846413152,231.6664574315052,ANT
4,195.74140947298542,189.88563146230703,ANT
5,247.84841368611924,243.20014023740933,ANT
6,227.49130032500446,224.03837765003175,ANT
7,257.4425738336718,259.66164568832454,SAI
8,292.3795601611977,293.8314831860236,SAI
9,209.74958164708664,200.94560169889814,ANT
10,202.76515224675882,211.33544222491423,SAI
11,271.7677532568116,276.3716987408344,SAI
12,212.25305158677924,206.14356972689504,ANT
13,249.44690186657866,255.7050898949726,SAI
14,292.56572116259434,296.404332593813,SAI
15,308.5303319426709,310.6925785120773,SAI
16,307.00317738666666,312.57654235613273,SAI
17,206.24346433206972,201.91073015492987,ANT
18,264.95392440721974,264.3283513981799,ANT
19,296.40943802265605,297.46775706209525,SAI
20,311.4429232555783,312.55468601165944,SAI
21,311.5597669422526,315.2180416213333,SAI
22,149.74267682733935,144.37541518420278,ANT
23,237.108034993288,235.59242884761906,ANT
24,286.4183060153286,292.38645804712496,SAI
