Minisector,LEC,LAW,Fastest
0,174.13065922633746,238.154000128,LAW
1,208.27132488246139,221.1063666900585,LAW
2,220.04261735619045,205.49927537777776,LEC
3,152.8195398988506,220.967718824127,LAW
4,113.2582703769038,244.422249664,LAW
5,152.60328945745007,263.0244446679365,LAW
6,189.48749973333335,265.3605677368076,LAW
7,158.9964882162578,185.9474486122449,LAW
8,158.50577786311112,120.04391007179488,LEC
9,150.27046196520635,132.4144077090909,LEC
10,170.0480664612419,180.0160811586559,LAW
11,213.31408583797153,149.71982260932154,LEC
12,226.61229290666665,106.82159659495885,LEC
13,253.84244989273185,118.20829693567252,LEC
14,226.5192701939394,171.0493334186667,LEC
15,215.13758485767704,163.47092579555556,LEC
16,222.0,140.074108490176,LEC
17,257.0022147047619,136.99041316285715,LEC
18,277.18609716771925,175.23693282747155,LEC
19,274.33402305185183,220.35357161360545,LEC
20,164.72102781184768,256.81652275403275,LAW
21,112.16277634969225,286.3592684642783,LAW
22,146.93743223466666,294.0,LAW
23,202.56182184347827,304.6875,LAW
24,142.55467689180063,318.0200045508907,LAW
25,115.75999232,322.5054688,LAW
26,,324.9481921520661,LAW
27,,320.9083328,LAW
