Minisector,BOT,GRO,Fastest
0,268.5614836448391,262.3356189396551,BOT
1,132.86533836976542,133.12995466580958,GRO
2,269.77372532244897,263.73997127599677,BOT
3,312.253830426501,303.349626080829,BOT
4,310.20850693333335,301.0903808914286,BOT
5,321.21214847445884,307.7399306666667,BOT
6,335.2465911143687,313.9141369904762,BOT
7,339.26837110303035,316.69635413333333,BOT
8,205.43711201427658,211.69930368253966,GRO
9,203.9354358979124,198.04699211943372,BOT
10,180.25944041289708,191.47994177566596,GRO
11,171.04879457845777,157.39818244054578,BOT
12,259.0998131644578,245.69132994031744,BOT
13,276.14587878681317,283.0814052448119,GRO
14,281.00081285741135,281.4505391041593,GRO
15,272.79791459591837,286.75180847472524,GRO
16,190.62346859555853,186.0785945466948,BOT
17,195.8847962954284,195.27404140430122,BOT
18,245.92314942098605,232.79329794162825,BOT
19,291.5742472035389,283.2346685401709,BOT
20,311.9997398666667,306.190144251162,BOT
21,316.5345497043478,313.6833021174427,BOT
22,315.0621527555556,314.1402176079014,BOT
23,261.82935776040205,282.2592840973545,GRO
24,117.2285245096583,111.38229432099912,BOT
25,,225.86666737777776,GRO
