Minisector,HAM,OCO,Fastest
0,267.552176008582,263.4464423883422,HAM
1,133.46762505749794,125.25379858083234,HAM
2,194.8335422574027,196.53593351303692,OCO
3,246.30176860438752,246.8445494996683,OCO
4,261.7596148395604,259.44451921379425,HAM
5,176.46139963506985,170.09047679999998,HAM
6,145.1617850255805,139.93435206379786,HAM
7,183.02818244376468,179.9230002319223,HAM
8,100.7812796862845,102.90476983424813,OCO
9,74.7632130385619,73.37096645757187,HAM
10,96.21234205631706,93.65946438026246,HAM
11,176.99671641160245,175.3240056708776,HAM
12,243.12269499082984,245.4385529339279,OCO
13,269.50960570843296,271.0755046362055,OCO
14,281.0648749631285,281.0437978139194,HAM
15,114.54662901534178,112.71231051988946,HAM
16,139.35563747064455,139.32372600658638,HAM
17,183.0023015402533,182.41059147282493,HAM
18,188.90992188021673,191.76916678141592,OCO
19,207.17037030426462,206.59782779788557,HAM
20,129.4069919798756,127.94541383695228,HAM
21,111.86626946771993,118.38386349657355,OCO
22,90.60623087471161,88.91637892600238,HAM
23,190.3299661168619,192.09489659084227,OCO
24,249.00944334222223,249.354441510267,OCO
25,,264.59832325400555,OCO
