Minisector,LEC,OCO,Fastest
0,279.5145243755026,279.86370044725874,OCO
1,296.16210573468095,297.9464976854391,OCO
2,294.3353748458639,295.58869395142494,OCO
3,176.12253862179443,180.57524498512896,OCO
4,125.2479519723836,125.18968731768584,LEC
5,243.1301568893879,239.70779059450837,LEC
6,283.3085489420254,281.04088650957436,LEC
7,292.75350761997265,286.9229962153846,LEC
8,180.7603295981117,183.4788050883806,OCO
9,148.31398930360135,150.4193973947934,OCO
10,257.7355024071562,255.618535245977,LEC
11,291.5359474753928,290.81256199905766,LEC
12,298.3617840626742,298.88100154920636,OCO
13,278.2234602158759,277.2278661135802,LEC
14,296.52566917759503,295.53595015873015,LEC
15,301.63230717490575,295.08237027962724,LEC
16,247.9906732495238,256.7184084595168,OCO
17,222.7623809456892,228.54401218521994,OCO
18,276.94120414814813,276.74136751570495,LEC
19,298.5275718789763,296.6886294685896,LEC
20,302.7988329386667,293.55456809565237,LEC
21,231.05344035255163,236.65099652746753,OCO
22,262.88524697142856,259.6275276736556,LEC
23,142.31006301653457,144.25616557687118,OCO
24,225.07385734517297,223.64078442444256,LEC
