Minisector,SAI,LEC,Fastest
0,288.5996404727098,302.003968152381,LEC
1,305.20875013333335,324.9108716317889,LEC
2,299.980978944962,318.8427083733333,LEC
3,183.3857824078873,184.31187780491018,LEC
4,226.77495213245066,228.58511878095237,LEC
5,210.06556483006062,212.6427839060523,LEC
6,193.20883940547364,197.87544153364055,LEC
7,218.4147782338178,217.74844512299097,SAI
8,259.45843297777776,259.68720224761904,LEC
9,264.69746379130436,267.3513893333333,LEC
10,177.51496653832,178.6504398235876,LEC
11,241.03741932327927,245.92547112693254,LEC
12,115.92117821727548,121.48003504848904,LEC
13,228.6149705876543,234.6685398872234,LEC
14,274.2880373994805,280.10462955388823,LEC
15,280.08509294244305,291.38730153650795,LEC
16,208.61030503327504,218.92084325929756,LEC
17,186.90465720784314,186.54147638980032,SAI
18,271.1016236233654,277.88169451548526,LEC
19,294.7832073050505,303.1494672723156,LEC
20,305.59208341333334,314.77,LEC
21,305.5416666209524,315.1495901706688,LEC
22,259.9255337539047,276.6909937424431,LEC
23,117.53287611898965,116.1490910282251,SAI
24,246.242812981685,244.89084547596553,SAI
25,,282.6625013333333,LEC
